source,target
1,8
1,19
1,63
1,64
1,71
2,95
2,106
3,8
3,11
3,13
3,16
3,19
3,28
3,45
3,54
3,59
3,63
3,76
3,80
3,93
3,94
3,99
7,19
7,71
7,95
7,106
8,11
8,13
8,16
8,19
8,31
8,37
8,50
8,53
8,54
8,58
8,63
8,95
8,106
9,27
9,29
9,32
9,41
9,53
9,55
9,56
9,65
9,66
9,70
9,72
9,78
9,83
9,84
9,85
9,86
9,90
9,97
9,101
10,11
10,19
10,47
10,63
10,71
10,95
10,106
11,30
11,31
11,55
11,62
11,66
11,74
11,77
11,83
11,84
11,92
11,95
11,97
11,106
12,34
12,51
13,16
13,34
13,51
16,35
16,36
16,44
16,52
16,54
16,55
16,83
17,19
17,63
19,36
27,55
27,83
28,42
28,55
28,83
29,55
29,57
29,78
29,83
29,87
29,89
29,93
30,38
30,67
30,75
30,102
30,103
31,55
31,83
31,92
32,38
32,67
32,87
33,38
33,67
34,38
34,67
35,38
35,59
35,67
37,38
37,67
50,107
54,107
57,107
58,107
60,79
60,107
38,62
62,67
62,91
38,63
63,67
38,64
64,67
66,93
66,104
27,71
63,71
71,85
71,86
71,88
71,90
72,107
74,91
74,105
75,107
77,91
79,94
84,92
84,107
85,107
86,107
87,107
88,107
89,107
90,107
91,107
92,107
93,107
97,107
98,107
99,107
100,107
101,107
102,107
103,107
104,107
105,107
106,107
